,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
39,0.21443625,1.0145162,1.0806555,0.07728095,1.1428667,-1.7670563,-0.6661527,0.09112299,-0.50994235,0.048979558,-0.0048144516,2.0,-1.0598929,-0.51739705,-1,0
40,0.16050342,1.0329205,1.0481098,0.08208092,1.1430513,-1.7670119,-0.73293555,0.118872315,-0.49299192,0.064211875,-0.0048880656,1.0,-1.0941147,-0.62518173,-1,0
41,0.10224391,1.0249591,1.0099139,0.084768414,1.1432215,-1.7970428,-0.80084836,-0.3160966,-0.7900086,0.033335112,-0.0051465915,2.0,-0.9354864,-0.80021477,0,0
42,0.03969564,1.0213091,0.97266084,0.08676128,1.1432898,-1.7676178,-0.86599207,0.1835029,-0.44690263,0.050662458,-0.0071779024,2.0,-1.1550738,-0.82626736,-1,0
43,-0.027088348,1.0518756,0.94272965,0.09118865,1.1433221,-1.76754,-0.932625,0.21523927,-0.42634153,0.059536815,-0.0064076614,2.0,-1.1908419,-0.9359244,-1,0
44,-0.09815883,1.0840657,0.913116,0.09651072,1.1433938,-1.770117,-0.9992841,0.20886901,-0.43113393,0.060876857,-0.0061396784,2.0,-1.217086,-1.0393102,-1,-1
45,-0.17351581,1.1152142,0.883273,0.101679794,1.1434754,-1.7730668,-1.0659018,0.19917323,-0.437727,0.05845901,-0.006127989,2.0,-1.2433789,-1.1397192,-1,-1
46,-0.25315702,1.145179,0.8531833,0.106219634,1.1435524,-1.7760509,-1.1324887,0.19056119,-0.44338235,0.054587826,-0.006233031,2.0,-1.268133,-1.2306925,-1,-1
47,-0.33708167,1.174177,0.8228977,0.109981515,1.1436192,-1.7789627,-1.199053,0.18419932,-0.44745785,0.050477322,-0.0063792234,2.0,-1.2915173,-1.3113736,-1,-1
48,-0.42457968,1.2018559,0.79238933,0.11284411,1.1436658,-1.7217281,-1.189277,0.1463621,-0.46619248,0.04172202,-0.0072450615,2.0,-1.309335,-1.3960345,-1,-1
49,-0.50435126,1.2212046,0.75992155,0.11286429,1.1435466,-1.5098951,-1.0192969,0.09357292,-0.5345063,0.025551578,-0.00970519,2.0,-1.3438635,-1.5632915,-1,-1
50,-0.57433873,1.2348486,0.72390217,0.11063056,1.1431854,-1.3057684,-0.8845714,0.049931113,-0.6407033,0.018100746,-0.013066867,1.0,-1.4161979,-1.8599036,-1,-1
51,-0.63692564,1.1889067,0.6723319,0.101186216,1.1427642,-1.1896666,-0.78942114,-0.833094,-1.3043742,-0.041310906,-0.0117735,2.0,-0.9271097,-3.070031,0,-3
52,-0.6937846,1.1412085,0.6181447,0.08945625,1.1375703,-0.9944041,-0.7057567,0.017485574,-0.7715759,-0.016502121,-0.13142654,1.0,-1.7310544,-2.7549372,-1,-2
53,-0.7470505,1.103573,0.5632317,0.07710482,1.1312754,-0.8949212,-0.6768717,-0.672362,-1.3397801,-0.04142363,-0.040357187,1.0,-0.9737705,-3.260715,0,-3
54,-0.7984786,1.087278,0.5089468,0.059346057,1.1291701,-0.695976,-0.64747494,0.34604174,-0.74198663,-0.071492024,-0.026117543,1.0,-2.2289374,-3.5617554,-2,-3
55,-0.8495702,1.042821,0.44548634,0.0449517,1.1290809,-0.7127697,-0.66735315,-1.1113689,-1.7917088,-0.017598655,0.01078764,1.0,-0.7537724,-3.5049818,0,-3
56,-0.9012317,1.0052657,0.38128263,0.03161938,1.1287296,-0.5245894,-0.6631111,0.45415622,-0.7828137,-0.04950152,-0.03324983,1.0,-2.3664992,-3.8459756,-2,-3
57,-0.9544666,0.9738057,0.3165318,0.0232143,1.1274552,-0.5887228,-0.7173598,-1.0183523,-1.8150346,0.019951895,-0.012061465,3.0,-0.7483585,-3.5516708,0,-3
58,-1.0097893,0.94371,0.25209355,0.027043466,1.1179303,-0.48139307,-0.7267529,0.47319382,-0.7704871,0.07791691,-0.24034268,2.0,-2.4893942,-4.0484095,-2,-4
59,-1.0671554,1.0085224,0.20872861,0.038753737,1.0970285,-0.4837506,-0.7805962,0.4570537,-0.7687123,0.104991145,-0.29852867,3.0,-2.532308,-4.1061316,-2,-4
60,-1.1275717,1.0655833,0.1644755,0.04510621,1.0640367,-0.50258696,-0.8211661,0.3563924,-0.8152764,0.035371605,-0.5441908,2.0,-2.6237974,-4.228579,-2,-4
61,-1.1913886,1.1181238,0.119639255,0.049916584,1.0190281,-0.5086096,-0.88521683,0.3823704,-0.7973763,0.074723504,-0.6005138,2.0,-2.6724486,-4.290482,-2,-4
62,-1.2593647,1.1719004,0.0751813,0.058955047,0.9700857,-0.5174203,-0.95042855,0.37598273,-0.7965448,0.08304884,-0.64301986,3.0,-2.7109914,-4.33911,-2,-4
63,-1.3308195,1.2219185,0.030523151,0.059328005,0.909753,-0.53419834,-0.9932197,0.32510716,-0.8075159,-0.0020842112,-0.886397,3.0,-2.793935,-4.443855,-2,-4
64,-1.4018899,1.2746719,-0.012755639,0.049955733,0.83309627,-0.5041577,-0.82788044,0.437788,-0.72536874,-0.006568264,-0.9643448,3.0,-2.8939066,-4.544927,-2,-4
