,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
81,-1.8027511,0.59953564,0.37122476,-1.659863,0.78879017,-0.92770475,0.4680586,-0.5157038,-0.14134333,-0.3763646,-1.1391271,2.0,-0.99765545,-12.277095,0,-12
82,-1.7651069,0.5530574,0.35505253,-1.6903864,0.69826704,-0.83213335,0.6116591,-0.51245785,-0.105597064,-0.24794468,-1.2639811,2.0,-1.1559302,-12.276104,-1,-12
83,-1.716263,0.5061622,0.34144396,-1.7105856,0.59774435,-0.734543,0.7549029,-0.52485704,-0.07445017,-0.11675268,-1.389852,2.0,-1.3269536,-12.269049,-1,-12
84,-1.6562469,0.4581111,0.32998022,-1.71992,0.4870727,-0.6311188,0.89791346,-0.53757596,-0.049342126,0.025219707,-1.518377,0.0,-1.5237846,-12.252615,-1,-12
85,-1.583118,0.42574254,0.32149488,-1.7111595,0.36593348,-0.4007412,1.0914642,-0.17723887,-0.00060754584,0.33746833,-1.6519375,0.0,-2.0860393,-12.175148,-2,-12
86,-1.4950271,0.4251294,0.3160234,-1.6776627,0.23400114,-0.1702702,1.2813567,0.17103513,0.030873157,0.647085,-1.7643381,0.0,-2.771097,-12.035161,-2,-12
87,-1.3923299,0.45572904,0.3124989,-1.6195663,0.09096985,0.059441794,1.465722,0.5188963,0.05121318,0.9559388,-1.7643381,0.0,-3.3796105,-11.85579,-3,-11
88,-1.275551,0.5174691,0.3098594,-1.5368344,-0.06355051,0.28652644,1.6421194,0.8666315,0.055845786,1.2664629,-1.7643381,0.0,-3.896299,-11.647755,-3,-11
89,-1.1454254,0.61008346,0.30652258,-1.4292204,-0.230039,0.50845176,1.8075682,1.2103872,0.036391083,1.581472,-1.7643381,0.0,-4.2223706,-11.479585,-4,-11
90,-1.0032848,0.7086395,0.28135425,-1.295469,-0.40897137,0.6832531,1.9496025,0.9963461,-0.5184708,1.9239438,-1.7643381,0.0,-4.4119573,-11.302211,-4,-11
91,-0.8516861,0.7617017,0.19666386,-1.1354935,-0.6007679,0.7711453,2.0491927,0.19877402,-1.522099,2.241213,-1.7643381,0.0,-9.282492,-6.0735216,-9,-6
92,-0.69537306,0.7276334,0.03652548,-0.9572824,-0.8058742,0.7072969,2.0693986,-0.9412906,-2.4951243,2.3825746,-1.7643381,0.0,-13.032036,-8.771087,-13,-8
93,-0.5397564,0.6033158,-0.17939736,-0.77335554,-1.024999,0.5683814,2.0322514,-1.8080399,-2.9852839,2.3834736,-1.7643381,0.0,-13.407109,-8.7938795,-13,-8
94,-0.387992,0.42443827,-0.41234022,-0.5921991,-1.2590336,0.43274778,1.9710579,-2.1538982,-2.9424562,2.3120348,-1.7643381,1.0,-13.500208,-8.786883,-13,-8
95,-0.23825903,0.24727212,-0.65117335,-0.39786744,-1.5097196,0.57416767,1.9652836,-1.7056916,-3.149234,2.70602,-1.7643381,1.0,-13.598525,-8.654517,-13,-8
96,-0.0964964,0.14802483,-0.9036701,-0.1856039,-1.6772381,0.88502795,1.7988552,-0.5695808,-3.2764812,2.7824469,-1.3208665,1.0,-14.256432,-7.971816,-14,-7
97,0.030351615,0.09575707,-1.1531764,0.011736752,-1.7334373,0.7831948,1.5776246,-0.63028526,-3.0767436,2.3269327,-0.3349199,1.0,-16.154783,-7.1966743,-16,-7
98,0.14191307,0.037081324,-1.3787156,0.17408788,-1.7335638,0.64166474,1.4034001,-0.6914138,-2.652686,1.9000543,0.13352859,1.0,-16.822054,-6.741219,-16,-6
99,0.24117902,-0.024836633,-1.565131,0.30307975,-1.7086228,0.4858849,1.2604955,-0.69157034,-2.0542648,1.486579,0.32176495,1.0,-17.445145,-6.1648455,-17,-6
100,0.33020243,-0.08344042,-1.700679,0.39939827,-1.675146,0.32966346,1.1394727,-0.61161685,-1.3214074,1.0778883,0.36387727,1.0,-18.6988,-4.1809382,-18,-4
